sample	microbial objects
81	"{""Sphingomonas-11"", ""Anabaena-14"", ""Candidatus_Liberibacter-8""}"
82	"{""Propionibacterium_acnes-11"", ""Comamonas_jiangduensis-14"", ""Lactobacillus-9"", ""Sphingomonas-9"", ""Cupriavidus-10"", ""Acinetobacter_junii-13"", ""Cloacibacterium-11"", ""Pseudomonas-13"", ""Corynebacterium-10"", ""Stenotrophomonas-10"", ""Acinetobacter_tjernbergiae-10"", ""Acinetobacter_baumannii-9"", ""Pseudacidovorax-9"", ""Clostridium-10""}"
83	"{""Eubacterium-10"", ""Lachnoclostridium-10"", ""Anaerococcus-9"", ""Prevotella-11"", ""Acinetobacter_junii-14"", ""Sphingobium-9"", ""Acidovorax-13"", ""Zoogloea-9"", ""Comamonas_testosteroni-10"", ""Cloacibacterium-11"", ""Pseudomonas-9"", ""Comamonas_denitrificans-8"", ""Bacillus-10"", ""Novosphingobium-8"", ""Streptococcus-10"", ""Enterococcus-8"", ""Blautia-11"", ""Acinetobacter_tjernbergiae-14"", ""Anaerotruncus-8"", ""Delftia-11"", ""Sphingobacterium-9"", ""Oscillibacter-8"", ""Bacteroides-10"", ""Gemmiger-9"", ""Christensenella-8"", ""Anaerobacterium-8"", ""Parabacteroides-10""}"
84	"{""Propionibacterium_acnes-7"", ""Comamonas_jiangduensis-13"", ""Lactobacillus-10"", ""Lachnoclostridium-10"", ""Clostridioides-8"", ""Veillonella-8"", ""Anaerococcus-9"", ""Acinetobacter_junii-14"", ""Acidovorax-7"", ""Cloacibacterium-12"", ""Pseudomonas-11"", ""Tyzzerella-8"", ""Klebsiella-8"", ""Streptococcus-7"", ""Enterococcus-8"", ""Chryseobacterium-7"", ""Cutibacterium-7"", ""Gemella-7"", ""Aquabacterium-8"", ""Blautia-9"", ""Acinetobacter_tjernbergiae-10"", ""Acinetobacter_baumannii-8"", ""Comamonas_terrae-7"", ""Dialister-9"", ""Moraxella-11"", ""Bacteroides-13"", ""Alicycliphilus-7"", ""Eggerthella-7"", ""Snodgrassella-8""}"
85	"{""Propionibacterium_acnes-12"", ""Acinetobacter_junii-13"", ""Sphingobium-8"", ""Acidovorax-14"", ""Zoogloea-9"", ""Comamonas_testosteroni-11"", ""Cloacibacterium-12"", ""Herbaspirillum-9"", ""Pseudomonas-8"", ""Comamonas_denitrificans-8"", ""Vulcaniibacterium-8"", ""Novosphingobium-9"", ""Tabrizicola-8"", ""Aquabacterium-8"", ""Hyphomicrobium-8"", ""Acinetobacter_tjernbergiae-13"", ""Sphingobacterium-10"", ""Rhodococcus-8"", ""Methyloversatilis-8""}"
86	"{""Propionibacterium_acnes-14"", ""Mesorhizobium-12"", ""Flavobacterium-12"", ""Stenotrophomonas-13"", ""Paracoccus-10"", ""Enterococcus-8"", ""Kocuria-11"", ""Actinomyces-10"", ""Moraxella-10""}"
87	"{""Anaerococcus-8"", ""Acinetobacter_junii-13"", ""Sphingobium-9"", ""Acidovorax-13"", ""Zoogloea-9"", ""Comamonas_testosteroni-10"", ""Cloacibacterium-12"", ""Herbaspirillum-8"", ""Pseudomonas-9"", ""Tyzzerella-7"", ""Comamonas_denitrificans-9"", ""Bosea-8"", ""Corynebacterium-9"", ""Novosphingobium-7"", ""Micrococcus-8"", ""Blautia-10"", ""Azonexus-7"", ""Acinetobacter_tjernbergiae-14"", ""Anaerotruncus-10"", ""Alistipes-8"", ""Sphingobacterium-7"", ""Oscillibacter-9"", ""Achromobacter-9"", ""Ruminiclostridium-9"", ""Bacteroides-7"", ""Papillibacter-7"", ""Gemmiger-8"", ""Ruminococcus-8"", ""Facklamia-7"", ""Christensenella-8"", ""Anaerobacterium-7"", ""Methyloversatilis-7""}"
88	"{""Propionibacterium_acnes-8"", ""Comamonas_jiangduensis-13"", ""Lactobacillus-10"", ""Lachnoclostridium-10"", ""Clostridioides-7"", ""Anaerococcus-8"", ""Prevotella-7"", ""Acinetobacter_junii-14"", ""Acidovorax-8"", ""Comamonas_testosteroni-7"", ""Cloacibacterium-12"", ""Pseudomonas-12"", ""Tyzzerella-7"", ""Klebsiella-9"", ""Streptococcus-9"", ""Chryseobacterium-7"", ""Tabrizicola-7"", ""Peptoniphilus-7"", ""Blautia-8"", ""Acinetobacter_tjernbergiae-11"", ""Acinetobacter_baumannii-9"", ""Comamonas_terrae-7"", ""Candidatus_Solibacter-7"", ""Moraxella-11"", ""Ruminiclostridium-7"", ""Bacteroides-13"", ""Diaphorobacter-7""}"
89	"{""Propionibacterium_acnes-13"", ""Acinetobacter_junii-14"", ""Acidovorax-11"", ""Paraburkholderia-13"", ""Zoogloea-12"", ""Comamonas_testosteroni-10"", ""Corynebacterium-9"", ""Pedobacter-11"", ""Cutibacterium-9"", ""Acinetobacter_tjernbergiae-13"", ""Moraxella-11"", ""Micromonospora-10""}"
90	"{""Propionibacterium_acnes-14"", ""Acinetobacter_junii-12"", ""Corynebacterium-13"", ""Acinetobacter_tjernbergiae-10"", ""Acinetobacter_guillouiae-11""}"
